ID,"Street Address
City, State","Building
Registration
Number",HPD-BIN,HUD_ID,HPD-BBL,HPD-complaints S1-2019,HPD-complaints S2-2020,increase
1061943NYA00000511020770033,"1728 AMSTERDAM AVE
NEW YORK, NY",101229,1061943,NYA0000051,1020770033,#N/A,#N/A,#N/A
1061799NYC20088061020730035,"1652 AMSTERDAM AVE
NEW YORK, NY",121299,1061799,NYC2008806,1020730035,#N/A,#N/A,#N/A
1062681NYC20088071021140017,"554 W 156TH ST
NEW YORK, NY",106592,1062681,NYC2008807,1021140017,4,,
1061171NYC20043651020540025,"36 SAINT NICHOLAS PL
NEW YORK, NY",122516,1061171,NYC2004365,1020540025,#N/A,#N/A,#N/A
1061662NYC20092451020680025,"871 SAINT NICHOLAS AVE
NEW YORK, NY",121918,1061662,NYC2009245,1020680025,#N/A,#N/A,#N/A
1063696NYC20108071021540190,"557 W 183RD ST
NEW YORK, NY",125253,1063696,NYC2010807,1021540190,#N/A,#N/A,#N/A
10635968000155941021520036,"287 AUDUBON AVE
NEW YORK, NY",107345,1063596,800015594,1021520036,#N/A,#N/A,#N/A
105974199999999991019870034,"1492 AMSTERDAM AVE
NEW YORK, NY",115604,1059741,9999999999,1019870034,#N/A,#N/A,#N/A
105974299999999991019870036,"1496 AMSTERDAM AVE
NEW YORK, NY",117194,1059742,9999999999,1019870036,1,,
106173899999999991020710036,"1616 AMSTERDAM AVE
NEW YORK, NY",112462,1061738,9999999999,1020710036,1,,
106179699999999991020730032,"1646 AMSTERDAM AVE
NEW YORK, NY",104987,1061796,9999999999,1020730032,#N/A,#N/A,#N/A
106179899999999991020730034,"1650 AMSTERDAM AVE
NEW YORK, NY",114058,1061798,9999999999,1020730034,#N/A,#N/A,#N/A
106191299999999991020760030,"1702 AMSTERDAM AVE
NEW YORK, NY",117235,1061912,9999999999,1020760030,#N/A,#N/A,#N/A
106194299999999991020770032,"1726 AMSTERDAM AVE
NEW YORK, NY",120810,1061942,9999999999,1020770032,1,,
106137999999999991020610004,"1745 AMSTERDAM AVE
NEW YORK, NY",128414,1061379,9999999999,1020610004,#N/A,#N/A,#N/A
106141799999999991020610063,"1749 AMSTERDAM AVE
NEW YORK, NY",130777,1061417,9999999999,1020610063,#N/A,#N/A,#N/A
106141699999999991020610062,"1751 AMSTERDAM AVE
NEW YORK, NY",131606,1061416,9999999999,1020610062,#N/A,#N/A,#N/A
106198399999999991020790029,"1760 AMSTERDAM AVE
NEW YORK, NY",107759,1061983,9999999999,1020790029,#N/A,#N/A,#N/A
106198499999999991020790030,"1764 AMSTERDAM AVE
NEW YORK, NY",107758,1061984,9999999999,1020790030,#N/A,#N/A,#N/A
106198599999999991020790031,"1766 AMSTERDAM AVE
NEW YORK, NY",107757,1061985,9999999999,1020790031,#N/A,#N/A,#N/A
106198699999999991020790032,"1768 AMSTERDAM AVE
NEW YORK, NY",106278,1061986,9999999999,1020790032,#N/A,#N/A,#N/A
106198799999999991020790033,"1770 AMSTERDAM AVE
NEW YORK, NY",124203,1061987,9999999999,1020790033,#N/A,#N/A,#N/A
106203399999999991020800030,"1784 AMSTERDAM AVE
NEW YORK, NY",112591,1062033,9999999999,1020800030,#N/A,#N/A,#N/A
106203599999999991020800032,"1788 AMSTERDAM AVE
NEW YORK, NY",111330,1062035,9999999999,1020800032,#N/A,#N/A,#N/A
106203699999999991020800033,"1790 AMSTERDAM AVE
NEW YORK, NY",119591,1062036,9999999999,1020800033,#N/A,#N/A,#N/A
106203799999999991020800034,"1792 AMSTERDAM AVE
NEW YORK, NY",119339,1062037,9999999999,1020800034,#N/A,#N/A,#N/A
106209899999999991020810029,"1800 AMSTERDAM AVE
NEW YORK, NY",119338,1062098,9999999999,1020810029,#N/A,#N/A,#N/A
106210199999999991020810032,"1806 AMSTERDAM AVE
NEW YORK, NY",122106,1062101,9999999999,1020810032,#N/A,#N/A,#N/A
106210499999999991020810035,"1812 AMSTERDAM AVE
NEW YORK, NY",115575,1062104,9999999999,1020810035,#N/A,#N/A,#N/A
107985899999999991020830030,"1844 AMSTERDAM AVE
NEW YORK, NY",131946,1079858,9999999999,1020830030,#N/A,#N/A,#N/A
106219099999999991020830031,"1846 AMSTERDAM AVE
NEW YORK, NY",131947,1062190,9999999999,1020830031,#N/A,#N/A,#N/A
106243799999999991020950031,"3603 BROADWAY
NEW YORK, NY",123852,1062437,9999999999,1020950031,#N/A,#N/A,#N/A
106201599999999991020800003,"3604 BROADWAY
NEW YORK, NY",124648,1062015,9999999999,1020800003,#N/A,#N/A,#N/A
106243899999999991020950032,"3605 BROADWAY
NEW YORK, NY",123851,1062438,9999999999,1020950032,#N/A,#N/A,#N/A
106225299999999991020840062,"3694 BROADWAY
NEW YORK, NY",126651,1062252,9999999999,1020840062,#N/A,#N/A,#N/A
106123699999999991020580017,"294 CONVENT AVE
NEW YORK, NY",126495,1061236,9999999999,1020580017,1,,
106093199999999991020500020,"313 CONVENT AVE
NEW YORK, NY",127469,1060931,9999999999,1020500020,#N/A,#N/A,#N/A
106093399999999991020500022,"317 CONVENT AVE
NEW YORK, NY",140239,1060933,9999999999,1020500022,#N/A,#N/A,#N/A
106133199999999991020590111,"322 CONVENT AVE
NEW YORK, NY",120497,1061331,9999999999,1020590111,#N/A,#N/A,#N/A
106093899999999991020500027,"327 CONVENT AVE
NEW YORK, NY",122482,1060938,9999999999,1020500027,#N/A,#N/A,#N/A
106094099999999991020500029,"331 CONVENT AVE
NEW YORK, NY",138694,1060940,9999999999,1020500029,#N/A,#N/A,#N/A
106128499999999991020590016,"332 CONVENT AVE
NEW YORK, NY",137496,1061284,9999999999,1020590016,#N/A,#N/A,#N/A
106128599999999991020590017,"334 CONVENT AVE
NEW YORK, NY",106854,1061285,9999999999,1020590017,#N/A,#N/A,#N/A
106094399999999991020500032,"337 CONVENT AVE
NEW YORK, NY",133982,1060943,9999999999,1020500032,#N/A,#N/A,#N/A
106146099999999991020620048,"408 CONVENT AVE
NEW YORK, NY",123265,1061460,9999999999,1020620048,#N/A,#N/A,#N/A
106149699999999991020630015,"431 CONVENT AVE
NEW YORK, NY",119971,1061496,9999999999,1020630015,#N/A,#N/A,#N/A
107980999999999991020640047,"455 CONVENT AVE
NEW YORK, NY",123105,1079809,9999999999,1020640047,#N/A,#N/A,#N/A
107982799999999991020640046,"457 CONVENT AVE
NEW YORK, NY",123091,1079827,9999999999,1020640046,#N/A,#N/A,#N/A
106116299999999991020540001,"345 EDGECOMBE AVE
NEW YORK, NY",132413,1061162,9999999999,1020540001,#N/A,#N/A,#N/A
106171199999999991020700008,"30 HAMILTON PL
NEW YORK, NY",102040,1061711,9999999999,1020700008,#N/A,#N/A,#N/A
106174699999999991020710054,"58 HAMILTON PL
NEW YORK, NY",102366,1061746,9999999999,1020710054,#N/A,#N/A,#N/A
106098999999999991020500102,"25 HAMILTON TER
NEW YORK, NY",114206,1060989,9999999999,1020500102,#N/A,#N/A,#N/A
106099099999999991020500103,"27 HAMILTON TER
NEW YORK, NY",115471,1060990,9999999999,1020500103,#N/A,#N/A,#N/A
106103499999999991020500203,"29 HAMILTON TER
NEW YORK, NY",117586,1061034,9999999999,1020500203,#N/A,#N/A,#N/A
106097299999999991020500075,"32 HAMILTON TER
NEW YORK, NY",113119,1060972,9999999999,1020500075,#N/A,#N/A,#N/A
